id,group
204,invalid
413,invalid
654,invalid
1297,invalid
1505,invalid
1744,invalid
1778,invalid
2391,invalid
2551,invalid
2659,invalid
2714,invalid
3097,invalid
3468,invalid
3586,invalid
3747,invalid
3780,invalid
3980,invalid
4345,invalid
4448,invalid
4679,invalid
4866,invalid
4907,invalid
5247,invalid
5936,invalid
6546,invalid
6911,invalid
7105,invalid
7423,invalid
8248,invalid
9318,invalid
9437,invalid
8120App,invalid
A0120,invalid
A2480,invalid
A4614,invalid
A5625,invalid
A6869,invalid
a7705,invalid
A9324,invalid
D0799,invalid
D6089,invalid
D6169APP,invalid
D8704,invalid
E4061,invalid
E4738,invalid
E9332,invalid
ER 02.06.22,invalid
ER 1/12,invalid
ER 11.9,invalid
ER 31.7,invalid
G9234,invalid
H5396,invalid
I4057APP,invalid
I6214,invalid
I6553,invalid
I8279,invalid
K000,invalid
K0936,invalid
K3544,invalid
L1833,invalid
L2028,invalid
l2172,invalid
L4759,invalid
L5416,invalid
L5494,invalid
L5580,invalid
L7603,invalid
M3256,invalid
M3804app,invalid
M7615,invalid
M8511,invalid
N1651,invalid
N9042,invalid
O0206,invalid
O4497,invalid
O8253,invalid
R4893app,invalid
R9638,invalid
R9704,invalid
R9979APP,invalid
S0028,invalid
S0075,invalid
S2319,invalid
S2489,invalid
S6548,invalid
S6551,invalid
S6810,invalid
S7714,invalid
S8015,invalid
S9728,invalid
SB070,invalid
scs-00,invalid
SCS-7,invalid
SCS-9,invalid
T0428,invalid
T8437,invalid
Y0629,invalid
Y0997,invalid
Y4733,invalid
Y4963,invalid
Y6299,invalid
Y9633,invalid
Z7237,invalid
